Value,Item,Cond,Group,Subject,Time,Answer,Accuracy,Type,logRT
Yes,Awakened,Subject,B,5cfa77e907f7dd0001b163b7,917,No,0,Critical,6.821107472256465
No,Awakened,Subject,B,5c1d21196036e40001ad95ed,2624,No,1,Critical,7.8724551500639794
No,Awakened,Subject,B,5d730aab6b4b16001ab9699e,2809,No,1,Critical,7.940583827104244
No,Awakened,Subject,B,5ddef0fae454cde6bc7d9e3e,1587,No,1,Critical,7.369600720526409
No,Awakened,Subject,B,5e7a8e8b11bf5608753083e5,1697,No,1,Critical,7.436617265234227
No,Awakened,Verb,A,5d4613a2da9cb60001aa4948,1484,No,1,Critical,7.302496423727326
No,Awakened,Verb,A,579e1e2b275be6000135af15,1556,No,1,Critical,7.349873704738337
No,Awakened,Verb,A,5dfe69ed11d879b042404a8b,1699,No,1,Critical,7.4377951216719325
No,Awakened,Verb,A,5b9442cecd380800017b780d,2159,No,1,Critical,7.677400430514807
No,Awakened,Verb,A,5e7f332884991761294f31d1,1132,No,1,Critical,7.0317412587631285
No,Awakened,Verb,A,5a8f7e24ae9a0b0001aa4e9c,1206,No,1,Critical,7.095064377287131
No,Awakened,Subject,B,5e1657044f849ec39dad9c61,1242,No,1,Critical,7.124478262493424
No,Awakened,Subject,B,599ec7dc617ca80001fcd124,1716,No,1,Critical,7.447751280047908
No,Awakened,Subject,B,5dcdef4dd30a0e0acb5b6fba,1585,No,1,Critical,7.368339686311381
No,Awakened,Subject,B,5e7aab0aa43b6e000b371af2,2101,No,1,Critical,7.650168700845001
Yes,Awakened,Verb,A,5e8422f22612591891e71bb6,1570,No,0,Critical,7.358830898342354
No,Awakened,Verb,A,5e6d6545993427329a35b800,1697,No,1,Critical,7.436617265234227
No,Awakened,Subject,B,5c41c28e896e090001c03bb0,1364,No,1,Critical,7.218176838403408
No,Awakened,Verb,A,5ba292385301b80001c71ba2,2183,No,1,Critical,7.688455356549944
No,Awakened,Verb,A,5e606b1eaf84e83c728748d7,1623,No,1,Critical,7.392031567514591
